"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1",505479,"ILLINOIS","February","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"3",505478,"ILLINOIS","February","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"280",494980,"IDAHO","February","Winter Weather",0,0,0,2,"0.00K","0.00K"
"420",501752,"LOUISIANA","April","Flood",0,0,1,0,"0.00K","0.00K"
"736",499225,"WASHINGTON","February","Winter Weather",0,0,0,2,"0.00K","0.00K"
"861",499666,"NEW JERSEY","February","Dense Fog",0,3,0,1,"0.00K","0.00K"
"996",498758,"KENTUCKY","February","Flash Flood",0,0,3,0,"1.00K","0.00K"
"1002",499057,"WASHINGTON","February","Winter Weather",0,2,0,2,"20.00K","0.00K"
"1608",488081,"OREGON","February","Avalanche",2,0,2,0,"0.00K","0.00K"
"1614",493476,"MINNESOTA","January","Extreme Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"1615",498332,"MINNESOTA","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"1624",495828,"ILLINOIS","January","Winter Storm",0,7,0,1,"0.00K","0.00K"
"1938",490307,"KENTUCKY","January","Winter Weather",1,0,1,0,"",""
"2008",490649,"ILLINOIS","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"2009",490650,"ILLINOIS","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
"2421",490555,"KENTUCKY","January","Winter Weather",3,0,1,0,"",""
"2575",482017,"KENTUCKY","January","Winter Weather",0,0,1,0,"",""
"2921",492378,"MONTANA","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"2932",485861,"INDIANA","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
"3159",498185,"NORTH CAROLINA","January","Winter Weather",4,0,1,0,"0.00K","0.00K"
"3160",498186,"NORTH CAROLINA","January","Winter Weather",1,0,1,0,"0.00K","0.00K"
"3414",487031,"ARIZONA","January","Winter Weather",0,2,0,1,"0.00K","0.00K"
"3597",497587,"KANSAS","January","Winter Weather",0,0,0,1,"",""
"3598",498267,"CALIFORNIA","January","High Surf",2,0,1,0,"0.00K","0.00K"
