"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"305",441422,"COLORADO","March","Avalanche",1,0,1,0,"0.00K","0.00K"
"421",445096,"FLORIDA","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"505",453203,"FLORIDA","May","Thunderstorm Wind",0,0,1,0,"",""
"1012",448423,"INDIANA","April","Flood",0,0,2,0,"25.00K","1.00K"
"1910",470612,"NORTH CAROLINA","July","Rip Current",3,0,1,0,"0.00K","0.00K"
"1928",470625,"SOUTH CAROLINA","July","Rip Current",0,0,1,0,"0.00K","0.00K"
"2116",427656,"GUAM","February","Rip Current",0,0,1,0,"0.00K","0.00K"
"2169",478305,"ILLINOIS","September","Heat",0,0,1,0,"0.00K","0.00K"
"2170",427696,"GUAM","February","Rip Current",0,0,1,0,"0.00K","0.00K"
"2570",430579,"ILLINOIS","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"2625",432653,"CALIFORNIA","January","Dense Fog",0,0,0,1,"500.00K","0.00K"
"2668",428260,"GEORGIA","January","Tornado",9,0,1,0,"60.00M","0.00K"
"2850",430080,"INDIANA","January","Flood",0,0,1,0,"0.00K","0.00K"
"3039",470360,"SOUTH CAROLINA","July","Thunderstorm Wind",0,0,1,0,"",""
"3068",429789,"UTAH","January","Winter Storm",0,1,0,1,"0.00K","0.00K"
"3147",428996,"MINNESOTA","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
"3312",431698,"ARIZONA","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"3450",429176,"PUERTO RICO","January","High Surf",0,0,1,0,"0.00K","0.00K"
"3451",429178,"PUERTO RICO","January","High Surf",0,0,1,0,"0.00K","0.00K"
"3661",470567,"SOUTH CAROLINA","July","Heavy Rain",0,0,1,0,"0.00K","0.00K"
"3682",427445,"IOWA","January","Winter Weather",0,0,0,1,"5.00K","0.00K"
"3751",430257,"MISSOURI","January","Flood",0,0,1,0,"0.00K","0.00K"
"3792",429917,"OHIO","January","Winter Weather",27,0,1,0,"2.00M",""
"4278",426639,"WEST VIRGINIA","January","Heavy Rain",0,0,1,0,"0.00K","0.00K"
"4581",429868,"UTAH","January","Avalanche",1,0,2,0,"0.00K","0.00K"
"4728",429686,"ILLINOIS","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"4760",422507,"ILLINOIS","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
"4906",421108,"OKLAHOMA","January","Dense Fog",0,0,0,1,"",""
"4950",428112,"NEBRASKA","January","Winter Weather",0,0,0,4,"1.00M","0.00K"
"4964",431896,"CALIFORNIA","January","Sneakerwave",0,0,1,0,"0.00K","0.00K"
"5079",479079,"FLORIDA","July","Rip Current",0,0,1,0,"0.00K","0.00K"
"5106",426456,"MONTANA","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
